playerId,playerName,deviceId,soccerFieldId,raw_time,epoch_time,session,latitude,longitude,altitude,satellite,pdop,speed,heading,accX,accY,accZ,rotX,rotY,rotZ,pitch,roll,temp,step,crc,cnt,synced
,,,,1776019875.30016016960144043,12.04.2026 18:51:15.300,1,48.24015808,16.33670235,218.09300232,30,0.93000001,0.64999998,46.04270172,8386,-374,-2112,-2306,-842,2209,-109.73382568,-6.15965223,-400,3390,41765,43548,0
,,,,1776019875.70016002655029297,12.04.2026 18:51:15.700,1,48.24015808,16.33670425,218.07200623,31,0.94000000,0.31099999,53.60887146,7836,124,-2594,957,1178,-1713,-106.75538635,-11.78997421,-416,3390,45731,43549,0
,,,,1776019876.30015969276428223,12.04.2026 18:51:16.300,1,48.24015808,16.33670807,218.02999878,31,0.93000001,0.51599997,84.05236053,8096,1486,-2456,1817,-523,-1426,-108.70000458,9.44839954,-384,3390,18342,43550,0
,,,,1776019876.70015954971313477,12.04.2026 18:51:16.700,1,48.24015808,16.33670807,218.04800415,32,0.93000001,0.13500001,74.73007202,7732,1492,-2566,-493,-45,-207,-105.97061157,15.41432476,-416,3390,16736,43551,0
,,,,1776019877.30015921592712402,12.04.2026 18:51:17.300,1,48.24015808,16.33670807,218.07800293,32,0.99000001,0.08700000,87.39494324,7906,1540,-2356,-1367,-28,652,-106.14663696,5.59183741,-432,3390,9475,43552,0
,,,,1776019877.80015897750854492,12.04.2026 18:51:17.800,1,48.24015808,16.33670807,218.09800720,30,0.99000001,0.02600000,87.39494324,6980,2308,-3318,4147,659,-1405,-107.91281891,14.48814392,-400,3390,24919,43553,0
,,,,1776019878.30015873908996582,12.04.2026 18:51:18.300,1,48.24016190,16.33670807,218.08900452,28,1.08000004,0.55500001,331.16357422,8582,-70,-3226,1044,-1689,858,-108.38749695,36.55140686,-432,3391,5167,43554,0
,,,,1776019878.80015850067138672,12.04.2026 18:51:18.800,1,48.24016190,16.33670616,218.12800598,30,0.94999999,0.30000001,326.45092773,7740,-704,-3042,581,726,467,-107.27777863,39.81890869,-416,3391,1664,43555,0
,,,,1776019879.20015835762023926,12.04.2026 18:51:19.200,1,48.24016190,16.33670616,218.11900330,30,0.94999999,0.09400000,331.62564087,8304,-106,-2002,-1812,6,-647,-102.82447815,22.34461784,-384,3391,28125,43556,0
,,,,1776019879.80015802383422852,12.04.2026 18:51:19.800,1,48.24016190,16.33670425,218.13600159,31,1.05999994,0.40000001,205.16981506,7828,1304,-2562,-1980,-849,-551,-110.39685822,0.92852247,-432,3391,6357,43557,0
